,Brand,Model,Variant,Gear,Engine(CC),Max_Power(BHP),Torque(Nm),Mileage,Fuel,Color,Owner,Seats,Location,Insurance,Price,Year
0,Datsun,RediGO,1.0 T Option,Manual,999,67,91.0,22.5,Petrol,Silver,1,5,Bangalore,Third Party insurance,328500,2017
1,Ford,Ecosport,1.5 DV5 MT Titanium,Manual,1498,89,204.0,22.7,Diesel,None,1,5,Bangalore,Third Party insurance,605865,2014
2,Ford,Ecosport,1.5 DV5 MT Titanium,Manual,1498,89,204.0,22.7,Diesel,None,1,5,Bangalore,Third Party insurance,584000,2014
3,Ford,Ecosport,Titanium Diesel,Manual,1498,99,215.0,21.7,Diesel,None,2,5,Bangalore,Third Party insurance,622500,2014
4,Ford,Fiesta,1.4 Duratorq LXI,Manual,1388,67,160.0,18.6,Diesel,None,2,5,Bangalore,Third Party insurance,256000,2012
5,Ford,Figo,1.5 TDCi Titanium Opt,Manual,1498,99,215.0,25.83,Diesel,None,1,5,Bangalore,Third Party insurance,623500,2018
6,Ford,Figo,Diesel Titanium,Manual,1399,68,160.0,20.0,Diesel,None,1,5,Bangalore,Third Party insurance,318000,2012
7,Ford,Figo,Diesel ZXI,Manual,1399,68,160.0,20.0,Diesel,Silver,1,5,Bangalore,Third Party insurance,285000,2013
8,Ford,Figo,Titanium Diesel,Manual,1499,98,215.0,24.4,Diesel,None,1,5,Bangalore,Third Party insurance,581000,2017
9,Ford,Figo,Titanium Diesel,Manual,1499,98,215.0,24.4,Diesel,None,1,5,Bangalore,Third Party insurance,601500,2017
10,Honda,Amaze,S i-Vtech,Manual,1198,86,109.0,18.0,Petrol,Other,1,5,Bangalore,Third Party insurance,481500,2015
11,Honda,Amaze,S i-Vtech,Manual,1198,86,109.0,18.0,Petrol,Other,1,5,Bangalore,Third Party insurance,457500,2015
12,Honda,Amaze,SX i DTEC,Manual,1498,98,200.0,25.8,Diesel,Other,1,5,Bangalore,Third Party insurance,584000,2017
13,Honda,Brio,1.2 E MT,Manual,1198,86,109.0,18.5,Petrol,Grey,1,5,Bangalore,Third Party insurance,380000,2016
14,Honda,Brio,1.2 S MT,Manual,1198,86,109.0,18.5,Petrol,Silver,1,5,Bangalore,Third Party insurance,480500,2017
15,Honda,Brio,1.2 S MT,Manual,1198,86,109.0,18.5,Petrol,Other,1,5,Bangalore,Third Party insurance,340000,2013
16,Honda,Brio,1.2 VX AT,Automatic,1198,86,109.0,16.5,Petrol,None,1,5,Bangalore,Third Party insurance,420000,2014
17,Honda,Brio,AT,Automatic,1198,86,109.0,18.4,Petrol,None,2,5,Bangalore,Third Party insurance,404500,2012
18,Honda,Brio,S MT,Manual,1198,86,109.0,19.4,Petrol,Blue,1,5,Bangalore,Third Party insurance,306000,2012
19,Honda,Brio,S MT,Manual,1198,86,109.0,19.4,Petrol,Other,2,5,Bangalore,Third Party insurance,300000,2013
20,Honda,Brio,V MT,Manual,1198,86,109.0,19.4,Petrol,None,1,5,Bangalore,Third Party insurance,400000,2014
21,Honda,City,i DTEC V,Manual,1498,98,200.0,26.0,Diesel,None,1,5,Bangalore,Third Party insurance,761000,2015
22,Honda,City,i VTEC CVT VX,Automatic,1497,117,145.0,18.0,Petrol,None,1,5,Bangalore,Third Party insurance,917000,2016
23,Honda,City,i VTEC SV,Manual,1497,117,145.0,17.4,Petrol,Other,1,5,Bangalore,Third Party insurance,637000,2014
24,Honda,City,V MT,Manual,1497,116,146.0,16.8,Petrol,None,1,5,Bangalore,Third Party insurance,478000,2012
25,Honda,City,ZX CVT,Automatic,1497,117,145.0,17.4,Petrol,None,1,5,Bangalore,Third Party insurance,1049500,2018
26,Honda,Jazz,1.2 S i VTEC,Manual,1199,88,110.0,18.7,Petrol,Other,1,5,Bangalore,Third Party insurance,651000,2017
27,Honda,Jazz,1.2 SV i VTEC,Manual,1199,88,110.0,18.7,Petrol,Other,2,5,Bangalore,Third Party insurance,600000,2015
28,Honda,Jazz,1.2 V AT i VTEC,Automatic,1199,88,110.0,19.0,Petrol,None,1,5,Bangalore,Third Party insurance,740000,2017
29,Honda,Jazz,1.2 V i VTEC,Manual,1199,88,110.0,18.7,Petrol,None,1,5,Bangalore,Third Party insurance,580000,2016
30,Honda,Jazz,1.2 VX i VTEC,Manual,1199,88,110.0,18.7,Petrol,None,1,5,Bangalore,Third Party insurance,587000,2016
31,Honda,Jazz,1.5 V i DTEC,Manual,1498,98,200.0,27.3,Diesel,None,1,5,Bangalore,Third Party insurance,545000,2015
32,Honda,Jazz,1.5 VX i DTEC,Manual,1498,98,200.0,27.3,Diesel,None,1,5,Bangalore,Third Party insurance,660000,2015
33,Honda,Jazz,V CVT,Manual,1199,88,110.0,18.2,Petrol,None,2,5,Bangalore,Not Available,640000,2016
34,Honda,Jazz,V CVT,Automatic,1199,88,110.0,17.1,Petrol,None,2,5,Bangalore,Third Party insurance,673500,2017
35,Honda,Jazz,V,Manual,1199,88,110.0,16.6,Petrol,None,2,5,Bangalore,Third Party insurance,490000,2015
36,Honda,Jazz,V,Manual,1199,88,110.0,16.6,Petrol,None,2,5,Bangalore,Third Party insurance,520000,2016
37,Honda,Jazz,VX CVT,Automatic,1199,88,110.0,18.2,Petrol,None,1,5,Bangalore,Third Party insurance,810000,2019
38,Hyundai,EON,D Lite Plus,Manual,814,55,74.0,21.1,Petrol,Grey,1,5,Bangalore,Not Available,267500,2012
